Date,Open,High,Low,Close,Adj Close,Volume,Return,,,,daily,
3/2/2020,107.599998,116.400002,107.290001,115.879997,113.977333,17074200,,,12M,Average Return,0.000716420387,0.180537938
3/3/2020,116.080002,117.529999,112.339996,112.910004,111.056107,11113600,-0.025629886,,,Standard Deviation,0.019769952,0.313838256
3/4/2020,114.239998,116.839996,113.470001,116.769997,114.852722,8208400,0.034186459,,,,,
3/5/2020,114.400002,117.25,113.910004,115.919998,114.016678,8546100,-0.00727927,,,,,
3/6/2020,113.870003,117.910004,113.010002,117.230003,115.305176,9803700,0.011300961,,6M,Average Return,-0.000420152,-0.105878232
3/9/2020,113.82,120.629997,112.730003,117.160004,115.23632,19747800,-0.000597163,,,Standard Deviation,0.013488747,0.214127223
3/10/2020,118.099998,120.68,114.919998,119.790001,117.823135,12599100,0.022447914,,,,,
3/11/2020,117.510002,119.029999,112.800003,114.43,112.55114,10540000,-0.04474499,,,,,
3/12/2020,106.019997,111.489998,102.980003,104.050003,102.341583,18774400,-0.090710383,,,,,
3/13/2020,108.239998,114.589996,103.879997,114.099998,112.226555,14320700,0.096588031,,,,,
3/16/2020,105.199997,111.330002,102,106.760002,105.007088,12251300,-0.0643294,,,,,
3/17/2020,112.769997,119.269997,110.459999,119.260002,117.301842,17602000,0.117084991,,,,,
3/18/2020,115,128.080002,114.5,122.580002,120.567329,25785300,0.027838327,,,,,
3/19/2020,124.459999,127,117.629997,119.449997,118.008568,19033500,-0.021222673,,,,,
3/20/2020,119.5,122.790001,111.889999,113.970001,112.594704,18474500,-0.045876872,,,,,
3/23/2020,114.169998,117.540001,112.209999,114.279999,112.900963,13122000,0.002720012,,,,,
3/24/2020,115.870003,117.370003,111.309998,115.029999,113.641907,14235000,0.006562778,,,,,
3/25/2020,112.970001,114,108.050003,109.400002,108.079857,17762500,-0.048943652,,,,,
3/26/2020,109.400002,110.870003,106.849998,109.82,108.494781,19416900,0.00383905,,,,,
3/27/2020,110.110001,112.279999,108.599998,109.580002,108.257683,12053500,-0.00218534,,,,,
3/30/2020,111.860001,115.800003,110.940002,115.190002,113.79998,9737500,0.051195415,,,,,
3/31/2020,114.309998,116.190002,112.639999,113.620003,112.248932,8752800,-0.013629598,,,,,
4/1/2020,112.150002,115.529999,111.800003,114.139999,112.76265,9423200,0.004576596,,,,,
4/2/2020,113.18,119.110001,112.339996,118.650002,117.218231,9838500,0.039512915,,,,,
4/3/2020,117.209999,119.910004,117.029999,119.480003,118.038216,9541700,0.006995371,,,,,
4/6/2020,119.059998,126.389999,118.940002,126.07,124.548698,15922900,0.055155713,,,,,
4/7/2020,123.980003,126.489998,121.639999,121.989998,120.517921,13789900,-0.03236306,,,,,
4/8/2020,123.690002,123.809998,120.589996,121.839996,120.369736,9292200,-0.001229568,,,,,
4/9/2020,118.220001,122.870003,117.660004,121.800003,120.330223,10944400,-0.000328264,,,,,
4/13/2020,121.269997,125.669998,121.169998,125.300003,123.787987,8064700,0.028735624,,,,,
4/14/2020,127.099998,129.789993,126.040001,129,127.443336,11366300,0.029529109,,,,,
4/15/2020,129,129.880005,127.120003,128.759995,127.20623,7478400,-0.001860482,,,,,
4/16/2020,129,132.919998,128.25,132.330002,130.733154,10627400,0.027726032,,,,,
4/17/2020,131.479996,132.970001,129.729996,132.119995,130.525681,10305100,-0.001586996,,,,,
4/20/2020,132.389999,133.380005,129.759995,129.850006,128.283081,8133900,-0.017181293,,,,,
4/21/2020,130.070007,131.029999,128.160004,129.210007,127.65081,9300200,-0.004928717,,,,,
4/22/2020,130,132.380005,128.899994,131.589996,130.002075,6485000,0.018419507,,,,,
4/23/2020,129.850006,131.089996,127.730003,128.529999,126.978996,9613300,-0.023254083,,,,,
4/24/2020,129.350006,129.889999,128.559998,129.440002,127.878021,5782800,0.007080108,,,,,
4/27/2020,130,130.309998,128.169998,128.300003,126.751785,5974600,-0.008807112,,,,,
4/28/2020,128.279999,130.240005,127.699997,128,126.455399,6910700,-0.002338318,,,,,
4/29/2020,125.57,125.760002,122.550003,123.599998,122.108498,14870700,-0.034374974,,,,,
4/30/2020,123.080002,123.440002,121.040001,121.550003,120.083237,13499300,-0.01658575,,,,,
5/1/2020,121.480003,123.690002,120.779999,122.919998,121.436699,10381300,0.011271032,,,,,
5/4/2020,123.839996,124.400002,121.709999,123.699997,122.207291,5935900,0.006345627,,,,,
5/5/2020,123.800003,125.260002,123.260002,124.730003,123.224869,6445800,0.008326655,,,,,
5/6/2020,125.209999,125.489998,122.849998,123.300003,121.812119,5769700,-0.011464812,,,,,
5/7/2020,123.459999,123.980003,121.5,121.889999,120.948837,9115200,-0.007086996,,,,,
5/8/2020,122.75,123.010002,121.620003,122.940002,121.99073,6944400,0.008614328,,,,,
5/11/2020,123.040001,124.309998,123.010002,123.669998,122.715096,8447300,0.005937877,,,,,
5/12/2020,124.480003,125.660004,123.779999,123.779999,122.824242,6366700,0.000889426,,,,,
5/13/2020,123.5,126.239998,123.089996,123.709999,122.754784,9725100,-0.000565507,,,,,
5/14/2020,124.849998,125.129997,121.300003,123.419998,122.467026,7411000,-0.002344169,,,,,
5/15/2020,123.470001,125.940002,123.089996,125.940002,124.967567,10590000,0.020418076,,,,,
5/18/2020,127.5,128.559998,126.099998,127.660004,126.674286,13035900,0.013657296,,,,,
5/19/2020,131.75,131.990005,124.809998,124.949997,123.985207,24915400,-0.021228294,,,,,
5/20/2020,126.489998,126.589996,124.629997,125.449997,124.481339,10748800,0.004001542,,,,,
5/21/2020,124.889999,126.139999,124.25,124.989998,124.024895,7482700,-0.003666766,,,,,
5/22/2020,125.099998,125.349998,123.769997,124.330002,123.369995,7453200,-0.005280391,,,,,
5/26/2020,124.339996,125.510002,123.629997,123.860001,122.903625,7910200,-0.003780255,,,,,
5/27/2020,123.970001,124.489998,121.029999,122.480003,121.534279,10357900,-0.011141624,,,,,
5/28/2020,123.720001,124.949997,123.160004,123.690002,122.73494,8141600,0.009879196,,,,,
5/29/2020,124.239998,124.709999,121.93,124.059998,123.102074,9772400,0.002991275,,,,,
6/1/2020,123.440002,124.410004,122.360001,123.959999,123.002853,6850100,-0.000806006,,,,,
6/2/2020,123.589996,124.150002,122.809998,123.940002,122.983009,6395900,-0.00016133,,,,,
6/3/2020,123.900002,123.989998,122.660004,123.470001,122.51664,6754300,-0.003792142,,,,,
6/4/2020,122.800003,123.889999,121.82,122.110001,121.167137,8005000,-0.011014855,,,,,
6/5/2020,122.57,122.68,119.910004,121.559998,120.621384,13112400,-0.004504134,,,,,
6/8/2020,119.580002,121.239998,119.459999,121.239998,120.303856,9448100,-0.002632435,,,,,
6/9/2020,121.599998,122,120.559998,121.349998,120.41301,6915400,0.000907319,,,,,
6/10/2020,121.559998,122.5,121.129997,121.160004,120.22448,9380500,-0.001565695,,,,,
6/11/2020,120.989998,122.580002,119.480003,120.089996,119.162735,11387600,-0.008831354,,,,,
6/12/2020,120.510002,120.75,117.059998,117.739998,116.830879,10786400,-0.019568668,,,,,
6/15/2020,118.400002,118.68,117.010002,118.080002,117.168259,10901100,0.002887764,,,,,
6/16/2020,119.800003,120.230003,118.540001,119.650002,118.726135,8389200,0.013296058,,,,,
6/17/2020,119.860001,120.129997,118.400002,119.029999,118.110924,6722300,-0.005181766,,,,,
6/18/2020,118.540001,119.059998,117.660004,117.989998,117.078949,6690000,-0.008737337,,,,,
6/19/2020,118.889999,120.300003,117.75,119.849998,118.924591,13359600,0.015764081,,,,,
6/22/2020,120.970001,122.089996,120.400002,121.68,120.740463,9112800,0.015269104,,,,,
6/23/2020,122.75,122.849998,120.959999,121.07,120.13517,6575900,-0.005013174,,,,,
6/24/2020,120.739998,121.120003,119.580002,120.300003,119.371117,6871600,-0.006359944,,,,,
